CompID	MZ	Time	isotopes	adduct	pcgroup	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	bio	blank	200825_001_scan049_I	200825_002_scan034_I	200825_003_scan011_I	200825_004_scan015_I	200825_005_scan017_I	200825_006_scan021_I	200825_007_scan021_I	200825_008_scan025_I	200825_009_scan020_I	200825_010_scan016_I	200825_011_scan020_I	200825_012_scan017_I	200825_013_scan013_I	200825_014_scan019_I	200825_015_scan017_I	200825_016_scan015_I	200825_017_scan015_I	200825_018_scan018_I	200825_019_scan022_I	200825_020_scan020_I	200825_021_scan013_I	200825_022_scan014_I	200825_023_scan021_I	200825_024_scan013_I	200825_025_scan014_I	200825_026_scan011_I	200825_027_scan013_I	200825_028_scan019_I	200825_029_scan019_I
1	78.964	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17979.6621	24652.82282	24491.47449	17516.25343	13856.84531	11587.87109	9323.99232	11447.76906	14481.11081	9194.487109	14098.49314	11266.0757	10368.91607	14594.87438	15057.26495	10332.79484	9734.324739	10087.35546	8942.172244	10039.88755	8482.715304	8841.375754	8155.888645	8642.78113	10287.04279	10493.39057	13588.07625	15379.68075	13821.20241
2	79.963	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1022.666303	8071.228837	17904.81868	15299.49153	2752.80994	26487.05079	3629.112507	2384.837794	8078.179137	2535.693064	18255.85527	4921.792463	4677.238667	14031.02403	7887.119061	2620.450573	4618.209175	2294.546696	3960.785363	1700.268159	6872.64828	2370.473512	3288.553796	2123.277444	16026.37575	3086.561442	10380.58274	17905.09667	1852.044784
3	80.971	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1865.448537	3763.276273	5796.242145	5729.658722	5144.939328	8639.856446	4218.705309	3173.617551	7155.059588	3452.73727	8350.992416	4996.763814	7573.013543	10124.05255	7433.290358	3751.869447	5196.304442	3578.467497	4986.967497	3763.087757	10026.85807	2364.73402	5208.553088	2448.879198	6391.592633	4297.996208	6803.365114	3402.023294	1758.268147
4	89.031	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21027.6608	34963.83273	17469.62351	25460.85914	14965.78353	21086.05697	19736.10979	11440.83584	23692.1217	15591.82548	19163.58105	18525.41481	21373.41119	27388.46867	18653.12532	15725.68617	14220.08959	5938.986018	21672.32677	14303.72398	20067.67323	11763.37752	16438.63231	7770.253755	35056.00466	24579.76644	29291.59399	15222.50285	13796.41378
5	96.016	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12076.98406	10811.3727	9288.413054	8286.041854	10225.59492	11110	10002.34479	6277.984056	11740.97857	12164.36821	13274.21824	9257.683607	13015.12008	12669.07623	8936.189836	8605.752865	8847.886398	6057.465869	12974.41405	10942.24016	12963.30892	7342.493772	10296.43099	8338.724963	14811.55257	11158.14699	11412.17638	10384.96413	7678.838067
6	96.966	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3213.137041	23762.67726	60419.48262	39607.04767	2729.166832	72140.12214	3979.173784	2055.468719	13931.00099	3643.423039	47445.67329	6233.114201	6421.900695	28192.96723	9064.65144	4596.28997	4427.926514	1059.90864	3808.748759	2783.932473	6016.760675	2359.393247	3535.564052	2322.519364	37387.76663	4378.679245	21439.80933	66726.78252	1752.721946
7	98.031	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7441.050271	9149.396747	8298.786102	7135.347462	8174.306555	9240.462297	6624.85313	4590.731395	7304.563332	6855.296205	8670.58206	6593.696895	7467.716116	8652.65796	5436.685559	4776.893544	5232.891079	3743.0276	6169.978314	4666.364712	6050.148349	6158.775752	6238.374569	4469.831937	9146.223263	5782.231148	6789.977822	10488.92854	5278.534253
8	99.026	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6765.413997	4285.086742	3908.62346	3312.011336	6102.699852	3064.114835	4526.998521	4963.864958	3951.421883	5374.961557	2960.980779	4234.83243	5691.678659	4358.930015	3986.349433	3290.080335	4954.171513	3868.984722	4589.355347	5721.969936	4185.908822	3877.528832	5093.365697	4076.591917	3223.33169	3980.040414	4381.487925	2203.879251	4424.097585
9	106.988	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3431.320132	2566.445545	7804.768977	6675.016502	9636.155116	12298.38284	9544.643564	5667.722772	12062.43234	7374.445545	10939.52475	9646.874587	14030.59736	12020.93399	14631.79208	8494.280528	8424.561056	11450.14521	10521.48185	7961.518152	15433.88119	9290.188119	11048.24422	10814.75248	9513.013201	6877.894389	10367.78548	2989.349835	4558.135314
10	109.048	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7535.187266	6942.101592	4977.871255	5316.851124	10146.74391	5017.57912	6174.960674	5362.091292	4974.720506	6773.054775	5105.748596	6731.933521	10237.62313	5434.583333	6170.838015	5427.947097	4886.529963	3527.809457	4948.184925	5901.577715	4211.151217	5401.440543	6175.215824	5152.000468	4184.886704	5632.160112	5349.192416	3950.317416	4823.855337
